feature,chi2_stat,anova_f,mw_u,score
PREDICT_original_tf_Gabor_std_F0.05_A1.57,1.0029719611989376,0.18947054179775946,0.861539545869975,374.0
PREDICT_original_tf_Gabor_range_F0.2_A1.57,0.23377343971512982,0.002578076874390047,0.2276853458462026,372.6666666666667
PREDICT_original_tf_Gabor_skewness_F0.2_A0.0,0.023529905113095866,0.08791333515980394,0.11329048315813263,370.3333333333333
PREDICT_original_tf_Gabor_range_F0.5_A1.57,0.004987122815885054,0.43264049916366076,0.17794125560482876,368.6666666666667
"PREDICT_original_vf_Frangi_edge_range_SR(1.0, 10.0)_SS2.0",0.07525289853102321,0.6802890147597954,0.4733504660142752,368.0
"PREDICT_original_vf_Frangi_full_range_SR(1.0, 10.0)_SS2.0",0.07525289853102321,0.6802890147597954,0.4733504660142752,368.0
PREDICT_original_tf_Gabor_skewness_F0.5_A1.57,0.2835354949135923,0.2198974532934893,0.45309803853701913,368.0
PREDICT_original_tf_Gabor_min_F0.5_A0.79,0.46228431574291173,0.283905804849338,0.5684665741666295,367.6666666666667
PREDICT_original_tf_LBP_quartile_range_R15_P36,1.2314405061639313,0.3067574534946868,0.9165335211805885,367.6666666666667
PREDICT_original_sf_prax_avg_2.5D,0.7547849759728693,0.2964699407730348,0.7797711702451471,367.3333333333333
PREDICT_original_tf_LBP_median_R15_P36,0.0003952590378812907,0.9783790170132332,0.32791674165378937,365.1666666666667
PREDICT_original_logf_std_sigma5,1.7218766161851522,0.16567417666372378,0.8247194776769982,362.0
PREDICT_original_tf_Gabor_quartile_range_F0.5_A2.36,0.011083153881888819,0.7436817077511825,0.2552190835110326,361.6666666666667
PREDICT_original_tf_Gabor_quartile_range_F0.5_A1.57,0.05398305567477377,0.46881558912685073,0.24587364329798067,361.3333333333333
PREDICT_original_tf_Gabor_std_F0.2_A0.0,0.9711929436306421,0.06644507832477956,0.4871239913868892,361.0
PREDICT_original_tf_LBP_median_R3_P12,0.16711834464053008,0.2929202607190023,0.3084191713933353,360.6666666666667
PREDICT_original_tf_Gabor_min_F0.05_A0.79,0.11994834116093134,0.6194239539198158,0.4229151832491771,359.3333333333333
PREDICT_original_tf_Gabor_std_F0.5_A1.57,0.10078586567089232,0.244566842893024,0.18388952137353232,359.3333333333333
PREDICT_original_tf_LBP_std_R3_P12,0.15935988787452465,0.8373868456339265,0.5912077953817394,358.6666666666667
PREDICT_original_tf_Gabor_std_F0.2_A0.79,1.19359722252742,0.4761712743399051,0.9140186822079485,358.3333333333333
PREDICT_original_tf_LBP_quartile_range_R8_P24,0.3746922063416652,0.24677019999191568,0.36867684913242815,357.3333333333333
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.79std,0.021680126034533533,0.9215847194627046,0.34372909603812474,357.3333333333333
PREDICT_original_tf_GLCM_dissimilarityd1.0A2.36,0.021680126034534022,0.9215847194627046,0.34372909603812474,357.0
PREDICT_original_tf_GLCMMS_correlationd3.0A2.36mean,0.05875530258670451,0.5311762578232487,0.2426850565746178,357.0
PREDICT_original_tf_GLCM_energyd1.0A1.57,0.201751713187249,0.32159529482604204,0.3069835450085352,356.5
PREDICT_original_tf_GLCMMS_correlationd3.0A1.57mean,0.004788176103185356,0.8858871503748014,0.26455034898240926,356.3333333333333
PREDICT_original_tf_Gabor_median_F0.5_A0.0,0.21672974357614644,0.7798300433654982,0.5496809584432032,355.5
PREDICT_original_tf_Gabor_peak_F0.5_A0.0,0.21672974357614644,0.7798300433654982,0.5496809584432032,355.5
PREDICT_original_tf_Gabor_max_F0.2_A1.57,0.05772328489917311,0.1118139291811494,0.11031509145503599,355.3333333333333
"PREDICT_original_vf_Frangi_full_std_SR(1.0, 10.0)_SS2.0",0.11519953777550898,0.8068837121000971,0.4716439664907779,354.3333333333333
"PREDICT_original_vf_Frangi_edge_std_SR(1.0, 10.0)_SS2.0",0.11519953777550898,0.8068837121000971,0.4716439664907779,354.3333333333333
PREDICT_original_tf_Gabor_skewness_F0.05_A2.36,2.605584176666593,0.15609335066695526,0.7989541499867007,353.6666666666667
PREDICT_original_tf_GLCM_homogeneityd3.0A2.36,0.013391043538330729,0.8786822522933955,0.23714848066730132,350.6666666666667
PREDICT_original_tf_GLCMMS_homogeneityd1.0A2.36std,0.013391043538331308,0.8786822522933962,0.23714848066730132,350.0
PREDICT_original_tf_Gabor_max_F0.05_A0.0,1.3629864711156703,0.33530307489913863,0.7036723544019077,350.0
PREDICT_original_tf_Gabor_max_F0.05_A1.57,1.108598410044174,0.4876146072075219,0.6840950001553975,347.3333333333333
PREDICT_original_logf_std_sigma10,2.4684770371797855,0.35583188857214454,0.8746114079300704,346.6666666666667
PREDICT_original_tf_GLCMMS_correlationd3.0A2.36std,0.05183249428316071,0.7634926480316172,0.2138490594533755,345.0
PREDICT_original_tf_Gabor_min_F0.2_A0.0,0.4641082867446973,0.24898727847320276,0.28340217780678945,344.0
PREDICT_original_tf_GLCM_dissimilarityd1.0A0.0,0.1142811706579073,0.8733331298747711,0.3609265827866547,343.5
PREDICT_original_tf_GLCMMS_dissimilarityd1.0A0.0mean,0.11428117065790785,0.8733331298747737,0.3609265827866547,342.8333333333333
PREDICT_original_tf_Gabor_std_F0.2_A2.36,1.4225003760876724,0.00011264031400575973,0.23386969520243828,339.0
PREDICT_original_hf_skewness,0.6257020997883267,0.7962727455413475,0.6280414685612671,338.6666666666667
PREDICT_original_phasef_phasecong_quartile_range_WL3_N5,0.12790310914408606,0.18025587143953573,0.09655434667133363,337.3333333333333
PREDICT_original_tf_Gabor_min_F0.2_A2.36,1.3694961341906868,0.03842512502686268,0.2448635037734439,334.6666666666667
PREDICT_original_tf_Gabor_skewness_F0.5_A0.79,0.1433854116223716,0.4474261051283286,0.14763969574484956,334.5
PREDICT_original_tf_GLCM_homogeneityd3.0A1.57,0.12796701937958943,0.899127724136982,0.2991849290641482,333.1666666666667
PREDICT_original_tf_Gabor_range_F0.05_A0.0,1.8659821104690675,0.5085993078128661,0.6564507533462027,332.6666666666667
PREDICT_original_tf_GLCMMS_homogeneityd1.0A2.36mean,0.12796701937959118,0.8991277241369837,0.2991849290641482,332.5
PREDICT_original_tf_GLCMMS_contrastd1.0A1.57std,0.0007620388187756258,1.8219347014023997,0.17846866490897628,332.1666666666667
PREDICT_original_tf_GLCM_contrastd3.0A0.79,0.0007620388187758041,1.8219347014024,0.17846866490897628,331.5
PREDICT_original_tf_GLCMMS_correlationd3.0A1.57std,0.0036136074400375394,1.5560352840380665,0.17056164152979558,330.6666666666667
PREDICT_original_tf_GLCM_correlationd3.0A0.79,2.5919550381385217,0.4914164893029549,0.6698549449952858,327.6666666666667
PREDICT_original_logf_quartile_range_sigma10,1.885738758370271,0.7318474015703252,0.7065345726501846,327.3333333333333
